"Domain","Username","TenantId","SkuPartNumber","SkuId","LicenseStatus","Error"
"otuwacne103999.onmicrosoft.com","odl_user_2227245@otuwacne103999.onmicrosoft.com","0bbab552-d379-4e86-96e1-c86662064893","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104000.onmicrosoft.com","odl_user_2227081@otuwacne104000.onmicrosoft.com","4d27db45-5247-434e-b486-cafa2a3e8cc1","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104001.onmicrosoft.com","odl_user_2227082@otuwacne104001.onmicrosoft.com","f228cb19-dd3b-46c2-8f83-26f187126f85","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104002.onmicrosoft.com","odl_user_2227083@otuwacne104002.onmicrosoft.com","28a55a2c-82bd-4b23-9f46-15ec7498ae91","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104003.onmicrosoft.com","odl_user_2227084@otuwacne104003.onmicrosoft.com","8576e7cd-3097-4f8f-b95e-5fa90f62ded3","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104004.onmicrosoft.com","odl_user_2227085@otuwacne104004.onmicrosoft.com","dcde1ddd-af2c-4b23-9ae5-d2a1fab7339f","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104005.onmicrosoft.com","odl_user_2227086@otuwacne104005.onmicrosoft.com","77060ab6-f578-4346-ae1e-1b5e216db2ed","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104006.onmicrosoft.com","odl_user_2227087@otuwacne104006.onmicrosoft.com","c8361611-e905-4af9-b27b-4a0c19c7ab9d","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104007.onmicrosoft.com","odl_user_2227088@otuwacne104007.onmicrosoft.com","7feeb899-6bdc-4376-a909-452aba019ddd","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
"otuwacne104008.onmicrosoft.com","odl_user_2227089@otuwacne104008.onmicrosoft.com","20417043-3ea5-43ea-85b1-606301f03632","Microsoft_365_E5_(no_Teams)","18a4bd3f-0b5b-4887-b04f-61dd0ee15f5e","Assigned",""
