username,tenant_id,status,policy_count,policies,page_text,screenshot,checked_at
odl_user_2227196@otuwacne104134.onmicrosoft.com,89f4f531-14b0-4cdd-83a7-310930a58532,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227196.png,2026-05-26 19:50:48
odl_user_2227194@otuwacne104132.onmicrosoft.com,8fe2827d-8b2b-4c93-bce5-a1551a1bd1dc,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227194.png,2026-05-26 19:50:48
odl_user_2227197@otuwacne104135.onmicrosoft.com,f84f45de-6be6-47cc-a149-5258f35d9cad,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227197.png,2026-05-26 19:50:48
odl_user_2227195@otuwacne104133.onmicrosoft.com,e4a1f9f2-7af3-4974-98ab-9e83d5600a3a,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227195.png,2026-05-26 19:50:48
odl_user_2227193@otuwacne104131.onmicrosoft.com,a6dc2572-7b77-42a2-9b4e-57ec5bd268d7,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227193.png,2026-05-26 19:50:48
odl_user_2227200@otuwacne104138.onmicrosoft.com,862d9112-26a5-4649-9c63-31d9e5ad48e5,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227200.png,2026-05-26 19:55:53
odl_user_2227198@otuwacne104136.onmicrosoft.com,a8fc8585-f687-4d5f-ab86-984f726c4246,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227198.png,2026-05-26 19:55:47
odl_user_2227201@otuwacne104139.onmicrosoft.com,942474ec-6b2f-48af-8956-813e59a0fbac,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227201.png,2026-05-26 19:55:53
odl_user_2227202@otuwacne104140.onmicrosoft.com,509053f4-22dc-4dde-b965-5d669e8a1824,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227202.png,2026-05-26 19:55:56
odl_user_2227199@otuwacne104137.onmicrosoft.com,5d13bb55-7cdc-4d58-827e-848a95692451,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227199.png,2026-05-26 19:55:49
odl_user_2227511@otuwacne104042.onmicrosoft.com,d540b97b-ec12-4f42-bef5-79470a319815,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227511.png,2026-05-26 19:58:50
odl_user_2227512@otuwacne104043.onmicrosoft.com,63dac623-08bb-451c-a622-347b19fa3253,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227512.png,2026-05-26 19:58:51
odl_user_2227510@otuwacne104041.onmicrosoft.com,79d1038c-f27a-4d93-bf0e-ee4d2fdae62b,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227510.png,2026-05-26 19:58:49
odl_user_2227513@otuwacne104044.onmicrosoft.com,6c0a9d46-6173-4874-8714-50a1e1b94bf9,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227513.png,2026-05-26 19:58:55
odl_user_2227414@otuwacne104045.onmicrosoft.com,19b58800-fcad-477c-9237-99743458566a,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227414.png,2026-05-26 20:01:31
odl_user_2227418@otuwacne104046.onmicrosoft.com,902bb837-e7fc-4a20-91f9-0081760ee9dd,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227418.png,2026-05-26 20:01:50
odl_user_2227423@otuwacne104049.onmicrosoft.com,216fec35-ebc6-473a-aed4-bdf4c31facbf,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227423.png,2026-05-26 20:04:00
odl_user_2227421@otuwacne104047.onmicrosoft.com,77734408-ac11-4178-b5ec-73630f2227b4,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227421.png,2026-05-26 20:01:50
odl_user_2227821@otuwacne104048.onmicrosoft.com,b2e3fd79-e86e-4740-b21f-cb615998630f,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227821.png,2026-05-26 20:03:49
odl_user_2227827@otuwacne104050.onmicrosoft.com,fa81e0b3-2438-4b7f-a25f-f5e9493c57a8,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227827.png,2026-05-26 20:06:20
odl_user_2227812@otuwacne104051.onmicrosoft.com,bd1d8d04-fd95-4557-9f08-b06407244d6b,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227812.png,2026-05-26 20:06:42
odl_user_2227813@otuwacne104053.onmicrosoft.com,98f9d77d-1215-4b90-9bbe-d392c883319e,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227813.png,2026-05-26 20:07:00
odl_user_2227496@otuwacne104055.onmicrosoft.com,b71f388f-ad82-4a51-8320-9c46b50b3e0a,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227496.png,2026-05-26 20:09:07
odl_user_2227495@otuwacne104054.onmicrosoft.com,a985cbb7-88f9-4098-817b-17a0801f2665,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227495.png,2026-05-26 20:07:01
odl_user_2227498@otuwacne104056.onmicrosoft.com,8ac6dc4a-d3d5-4056-a4a5-0a34ca2a815f,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227498.png,2026-05-26 20:09:27
odl_user_2227500@otuwacne104057.onmicrosoft.com,291cd7a8-1ce2-416e-805c-737118443110,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227500.png,2026-05-26 20:09:46
odl_user_2227501@otuwacne104058.onmicrosoft.com,13abbd0e-d7f3-46b2-8914-d99c3e4f0cff,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227501.png,2026-05-26 20:10:05
odl_user_2227502@otuwacne104060.onmicrosoft.com,71264e9d-8293-4fd8-b009-bb3b3af5bc37,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227502.png,2026-05-26 20:12:18
odl_user_2227503@otuwacne104061.onmicrosoft.com,381c927d-1cc2-4121-9356-a8353138f1fe,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227503.png,2026-05-26 20:12:29
odl_user_2227506@otuwacne104062.onmicrosoft.com,3c4ae842-3499-4b7a-8b1b-aa96a9247b84,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227506.png,2026-05-26 20:12:36
odl_user_2227508@otuwacne104064.onmicrosoft.com,3c536b65-eb06-4ed7-8faf-1c605ab94428,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227508.png,2026-05-26 20:13:10
odl_user_2227331@otuwamsb105220.onmicrosoft.com,otuwamsb105220.onmicrosoft.com,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227331.png,2026-05-26 20:15:31
odl_user_2227825@otuwacne104065.onmicrosoft.com,a8b6ff49-e6cc-4ef1-8fda-115562db64c2,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227825.png,2026-05-26 20:15:28
odl_user_2227507@otuwacne104063.onmicrosoft.com,88f61366-25a3-4be2-8bc3-587b96d8155a,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227507.png,2026-05-26 20:12:53
odl_user_2227342@otuwamsb105226.onmicrosoft.com,otuwamsb105226.onmicrosoft.com,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch5\odl_user_2227342.png,2026-05-26 20:15:38
odl_user_2227325@otuwamsb105215.onmicrosoft.com,otuwamsb105215.onmicrosoft.com,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch5\odl_user_2227325.png,2026-05-26 20:18:35
