username,tenant_id,status,policy_count,policies,page_text,screenshot,checked_at
odl_user_2227083@otuwacne104002.onmicrosoft.com,28a55a2c-82bd-4b23-9f46-15ec7498ae91,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch3\odl_user_2227083.png,2026-05-26 15:18:31
odl_user_2227245@otuwacne103999.onmicrosoft.com,0bbab552-d379-4e86-96e1-c86662064893,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227245.png,2026-05-26 15:18:31
odl_user_2227081@otuwacne104000.onmicrosoft.com,4d27db45-5247-434e-b486-cafa2a3e8cc1,LOADED,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227081.png,2026-05-26 15:18:31
odl_user_2227082@otuwacne104001.onmicrosoft.com,f228cb19-dd3b-46c2-8f83-26f187126f85,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227082.png,2026-05-26 15:18:31
odl_user_2227084@otuwacne104003.onmicrosoft.com,8576e7cd-3097-4f8f-b95e-5fa90f62ded3,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch3\odl_user_2227084.png,2026-05-26 15:18:31
odl_user_2227085@otuwacne104004.onmicrosoft.com,dcde1ddd-af2c-4b23-9ae5-d2a1fab7339f,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227085.png,2026-05-26 15:19:29
odl_user_2227086@otuwacne104005.onmicrosoft.com,77060ab6-f578-4346-ae1e-1b5e216db2ed,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch3\odl_user_2227086.png,2026-05-26 15:19:38
odl_user_2227087@otuwacne104006.onmicrosoft.com,c8361611-e905-4af9-b27b-4a0c19c7ab9d,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227087.png,2026-05-26 15:20:30
odl_user_2227088@otuwacne104007.onmicrosoft.com,7feeb899-6bdc-4376-a909-452aba019ddd,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227088.png,2026-05-26 15:20:54
odl_user_2227089@otuwacne104008.onmicrosoft.com,20417043-3ea5-43ea-85b1-606301f03632,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch3\odl_user_2227089.png,2026-05-26 15:20:58
odl_user_2227246@otuwacne104009.onmicrosoft.com,dc7323a9-b2c3-4dbf-9d7e-59bc1832837d,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227246.png,2026-05-26 15:21:56
odl_user_2227090@otuwacne104010.onmicrosoft.com,a38be04e-2bd5-4bad-b4fc-6ae2d4c429ef,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227090.png,2026-05-26 15:22:05
odl_user_2227095@otuwacne104015.onmicrosoft.com,c068eea7-73b6-4be9-b265-9289be35cd81,HAS_POLICIES,3,Lab - IRM Critical Data Leak | Lab - IRM Data Leak Monitoring | Lab - IRM Data Theft Policy,,C:\certs\irm_screenshots_Batch3\odl_user_2227095.png,2026-05-26 15:24:35
odl_user_2227091@otuwacne104011.onmicrosoft.com,715f4527-5dcc-462e-a7b9-dfbbb6be43e3,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227091.png,2026-05-26 15:22:58
odl_user_2227092@otuwacne104012.onmicrosoft.com,06f6bca4-7cc0-4899-bd08-0c976894d165,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227092.png,2026-05-26 15:23:24
odl_user_2227093@otuwacne104013.onmicrosoft.com,740edb9c-e174-4938-a673-07f42776ef2a,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227093.png,2026-05-26 15:23:27
odl_user_2227099@otuwacne104019.onmicrosoft.com,b27ea40b-42cb-4915-bc1c-998f0168e19e,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227099.png,2026-05-26 15:25:54
odl_user_2227094@otuwacne104014.onmicrosoft.com,0a0495e4-e3f3-40ec-b90f-181fcaeeace2,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227094.png,2026-05-26 15:24:35
odl_user_2227096@otuwacne104016.onmicrosoft.com,239b18f0-9f00-413c-9f28-7a4c89f9e489,NO_POLICIES,,,,C:\certs\irm_screenshots_Batch3\odl_user_2227096.png,2026-05-26 15:25:30
