"Time","Batch","User","Status","ExtraItems","Deleted"
"2026-05-23 16:52:39","Batch1","odl_user_2226954@otuwacne103891.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:41","Batch1","odl_user_2227227@otuwacne103892.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:43","Batch1","odl_user_2226956@otuwacne103893.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:45","Batch1","odl_user_2226957@otuwacne103894.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:47","Batch1","odl_user_2226963@otuwacne103895.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:49","Batch1","odl_user_2226964@otuwacne103896.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:51","Batch1","odl_user_2227228@otuwacne103897.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:53","Batch1","odl_user_2226966@otuwacne103898.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:55","Batch1","odl_user_2226967@otuwacne103899.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:57","Batch1","odl_user_2227229@otuwacne103900.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:52:59","Batch1","odl_user_2226969@otuwacne103901.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:01","Batch1","odl_user_2227230@otuwacne103902.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:03","Batch1","odl_user_2226971@otuwacne103903.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:05","Batch1","odl_user_2226972@otuwacne103904.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:07","Batch1","odl_user_2226975@otuwacne103905.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:10","Batch1","odl_user_2227231@otuwacne103906.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:12","Batch1","odl_user_2226977@otuwacne103907.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:14","Batch1","odl_user_2226978@otuwacne103908.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:15","Batch1","odl_user_2226979@otuwacne103909.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:17","Batch1","odl_user_2226980@otuwacne103910.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:19","Batch1","odl_user_2226981@otuwacne103911.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:21","Batch1","odl_user_2226982@otuwacne103912.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:23","Batch1","odl_user_2226984@otuwacne103913.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:25","Batch1","odl_user_2226985@otuwacne103914.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:27","Batch1","odl_user_2226986@otuwacne103915.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:29","Batch1","odl_user_2226990@otuwacne103916.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:31","Batch1","odl_user_2226991@otuwacne103917.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:33","Batch1","odl_user_2226992@otuwacne103918.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:35","Batch1","odl_user_2226994@otuwacne103919.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:37","Batch1","odl_user_2226995@otuwacne103920.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:39","Batch1","odl_user_2227004@otuwacne103921.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:41","Batch1","odl_user_2227005@otuwacne103922.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:42","Batch1","odl_user_2227842@otuwacne103923.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:44","Batch1","odl_user_2227007@otuwacne103924.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:47","Batch1","odl_user_2227008@otuwacne103925.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:48","Batch1","odl_user_2227843@otuwacne103926.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:50","Batch1","odl_user_2227010@otuwacne103927.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:52","Batch1","odl_user_2227014@otuwacne103928.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:54","Batch1","odl_user_2227016@otuwacne103929.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:56","Batch1","odl_user_2227232@otuwacne103930.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:57","Batch1","odl_user_2227017@otuwacne103931.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:53:59","Batch1","odl_user_2227018@otuwacne103932.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:01","Batch1","odl_user_2227019@otuwacne103933.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:03","Batch1","odl_user_2227020@otuwacne103934.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:05","Batch1","odl_user_2227021@otuwacne103935.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:07","Batch1","odl_user_2227022@otuwacne103936.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:09","Batch1","odl_user_2227233@otuwacne103937.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:11","Batch1","odl_user_2227024@otuwacne103938.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:12","Batch1","odl_user_2227025@otuwacne103939.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:14","Batch1","odl_user_2227029@otuwacne103940.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:16","Batch1","odl_user_2227030@otuwacne103941.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:19","Batch1","odl_user_2227031@otuwacne103942.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:21","Batch1","odl_user_2227032@otuwacne103943.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:22","Batch1","odl_user_2227033@otuwacne103944.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:24","Batch2","odl_user_2227034@otuwacne103945.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:26","Batch2","odl_user_2227234@otuwacne103946.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:28","Batch2","odl_user_2227235@otuwacne103947.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:29","Batch2","odl_user_2227035@otuwacne103948.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:31","Batch2","odl_user_2227036@otuwacne103949.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:34","Batch2","odl_user_2227236@otuwacne103950.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:36","Batch2","odl_user_2227037@otuwacne103951.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:37","Batch2","odl_user_2227038@otuwacne103952.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:39","Batch2","odl_user_2227039@otuwacne103953.onmicrosoft.com","Auth Failed","0","0"
"2026-05-23 16:54:41","Batch2","odl_user_2227040@otuwacne103954.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:43","Batch2","odl_user_2227041@otuwacne103955.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:45","Batch2","odl_user_2227237@otuwacne103956.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:47","Batch2","odl_user_2227238@otuwacne103957.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:49","Batch2","odl_user_2227239@otuwacne103958.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:51","Batch2","odl_user_2227042@otuwacne103959.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:53","Batch2","odl_user_2227240@otuwacne103960.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:55","Batch2","odl_user_2227043@otuwacne103961.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:56","Batch2","odl_user_2227044@otuwacne103962.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:54:58","Batch2","odl_user_2227045@otuwacne103963.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:55:01","Batch2","odl_user_2227046@otuwacne103964.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:55:03","Batch2","odl_user_2227047@otuwacne103965.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:55:04","Batch2","odl_user_2227049@otuwacne103966.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:55:06","Batch2","odl_user_2227050@otuwacne103967.onmicrosoft.com","Clean","0","0"
"2026-05-23 16:55:07","Batch2","odl_user_2227051@otuwacne103968.onmicrosoft.com","Clean","0","0"
